variable,type,status,level,mapped_columns,valid_columns,first_input_value,n_rows_activated
seleccion,categorical,OK,Femenina,,,Masculina,0.0
seleccion,categorical,OK,Masculina,seleccion.Masculina,seleccion.Masculina,Masculina,2002.0
edad_anos,numeric,OK,,edad_anos,edad_anos,18.0,
peso_kg,numeric,OK,,peso_kg,peso_kg,64.9,
altura_corporal_cm,numeric,OK,,altura_corporal_cm,altura_corporal_cm,175.0,
raza,categorical,OK,Africano,,,Caucásico/europeo,0.0
raza,categorical,OK,Caucásico/europeo,raza.Caucásico.europeo,raza.Caucásico.europeo,Caucásico/europeo,3674.0
raza,categorical,OK,Latinoamericano,raza.Latinoamericano,raza.Latinoamericano,Caucásico/europeo,267.0
min_entreno_fisico,numeric,NO_VALID_COLUMN,,min_entreno_fisico,,0.0,
min_entreno_pista,numeric,OK,,min_entreno_pista,min_entreno_pista,368.0,
x1_partido,categorical,OK,0,,,10-20',0.0
x1_partido,categorical,OK,1-10',x1_partido.1.10.,x1_partido.1.10.,10-20',355.0
x1_partido,categorical,OK,10-20',x1_partido.10.20.,x1_partido.10.20.,10-20',1803.0
x1_partido,categorical,OK,20-30',x1_partido.20.30.,x1_partido.20.30.,10-20',1599.0
x2_partidos,categorical,OK,0,,,20-30',0.0
x2_partidos,categorical,OK,1-10',x2_partidos.1.10.,,20-30',0.0
x2_partidos,categorical,OK,10-20',x2_partidos.10.20.,x2_partidos.10.20.,20-30',411.0
x2_partidos,categorical,OK,20-30',x2_partidos.20.30.,x2_partidos.20.30.,20-30',511.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,1,,,7,0.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,10,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.10,,7,0.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,2,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.2,,7,0.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,3,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.3,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.3,7,310.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,4,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.4,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.4,7,727.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,5,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.5,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.5,7,983.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,6,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.6,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.6,7,917.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,7,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.7,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.7,7,616.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,8,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.8,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.8,7,224.0
cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana,categorical,OK,9,cual_es_tu_percepcion_de_fatiga_despues_de_la_ultima_competicion_entrenamiento_de_la_semana.9,,7,0.0
lesiones_previas,categorical,OK,No,,,Sí,0.0
lesiones_previas,categorical,OK,Sí,lesiones_previas.Sí,lesiones_previas.Sí,Sí,3041.0
perc_fatiga,numeric,OK,,perc_fatiga,perc_fatiga,7.0,
loc_hombro_clavicula,categorical,OK,0,,,1,0.0
loc_hombro_clavicula,categorical,OK,1,loc_hombro_clavicula.1,loc_hombro_clavicula.1,1,905.0
loc_brazo,categorical,OK,0,,,1,0.0
loc_brazo,categorical,OK,1,loc_brazo.1,loc_brazo.1,1,667.0
loc_rodilla,categorical,OK,0,,,0,0.0
loc_rodilla,categorical,OK,1,loc_rodilla.1,loc_rodilla.1,0,1084.0
loc_tobillo,categorical,OK,0,,,0,0.0
loc_tobillo,categorical,OK,1,loc_tobillo.1,loc_tobillo.1,0,1545.0
loc_dorso,categorical,OK,0,,,0,0.0
loc_dorso,categorical,OK,1,loc_dorso.1,loc_dorso.1,0,494.0
loc_columna_lumbar,categorical,OK,0,,,0,0.0
loc_columna_lumbar,categorical,OK,1,loc_columna_lumbar.1,loc_columna_lumbar.1,0,597.0
loc_cara,categorical,OK,0,,,0,0.0
loc_cara,categorical,OK,1,loc_cara.1,loc_cara.1,0,283.0
est_musculo,categorical,OK,0,,,1,0.0
est_musculo,categorical,OK,1,est_musculo.1,est_musculo.1,1,2517.0
est_ligamento,categorical,OK,0,,,1,0.0
est_ligamento,categorical,OK,1,est_ligamento.1,est_ligamento.1,1,2314.0
est_hueso,categorical,OK,0,,,0,0.0
est_hueso,categorical,OK,1,est_hueso.1,est_hueso.1,0,758.0
est_menisco,categorical,OK,0,,,0,0.0
est_menisco,categorical,OK,1,est_menisco.1,est_menisco.1,0,795.0
